,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,CrimeId,callDateTime,Priority,CallDescription,CallId
131273,2015-01-01 00:00:00,22:15:00,6D,1200 RAMBLEWOOD RD,LARCENY FROM AUTO,O,,414.0,NORTHEASTERN,Ramblewood,-76.59326999999999,39.36257,"(39.3625700000, -76.5932700000)",STREET,1,131273,2015-01-02 07:46:00,Low,Larceny f/Auto,
131278,2015-01-01 00:00:00,21:00:00,6D,5800 BLAND AV,LARCENY FROM AUTO,O,,632.0,NORTHWESTERN,Glen,-76.68072,39.35743,"(39.3574300000, -76.6807200000)",STREET,1,131278,2015-01-02 18:06:00,Low,Larceny f/Auto,
131281,2015-01-01 00:00:00,21:00:00,7C,300 S CONKLING ST,AUTO THEFT,O,,231.0,SOUTHEASTERN,Highlandtown,-76.56730999999999,39.28843,"(39.2884300000, -76.5673100000)",STREET,1,131281,2015-01-02 08:39:00,Medium,Auto Theft,
131283,2015-01-01 00:00:00,20:36:00,5A,0 S LINWOOD AV,BURGLARY,I,,222.0,SOUTHEASTERN,Patterson Park Neighborho,-76.57611999999999,39.29177,"(39.2917700000, -76.5761200000)",ROW/TOWNHO,1,131283,2015-01-01 20:33:00,Medium,Burglary,
131284,2015-01-01 00:00:00,20:30:00,7A,2300 WILKENS AV,AUTO THEFT,O,,841.0,SOUTHWESTERN,Carrollton Ridge,-76.65305,39.28,"(39.2800000000, -76.6530500000)",STREET,1,131284,2015-01-02 12:39:00,Medium,Disorderly,
131286,2015-01-01 00:00:00,20:22:00,3CF,1000 GREENMOUNT AV,ROBBERY - COMMERCIAL,I,FIREARM,311.0,EASTERN,Johnston Square,-76.60725,39.301429999999996,"(39.3014300000, -76.6072500000)",GROCERY/CO,1,131286,2015-01-01 20:19:00,High,Robbery Armed,
131289,2015-01-01 00:00:00,20:00:00,7A,500 MILLINGTON AV,AUTO THEFT,O,,841.0,SOUTHWESTERN,Millhill,-76.65611,39.27932,"(39.2793200000, -76.6561100000)",STREET,1,131289,2015-01-01 20:49:00,Medium,*ATTEMPT,
131294,2015-01-01 00:00:00,19:30:00,6D,5100 THE ALAMEDA,LARCENY FROM AUTO,O,,524.0,NORTHERN,Kenilworth Park,-76.5989,39.35041,"(39.3504100000, -76.5989000000)",STREET,1,131294,2015-01-01 22:32:00,Low,Larceny f/Auto,
131296,2015-01-01 00:00:00,19:00:00,6E,100 N CENTRAL AV,LARCENY,O,,211.0,SOUTHEASTERN,Pleasant View Gardens,-76.59982,39.29287,"(39.2928700000, -76.5998200000)",STREET,1,131296,2015-01-02 11:09:00,Low,Larceny,
131302,2015-01-01 00:00:00,18:40:00,7A,1000 E PRATT ST,AUTO THEFT,O,,211.0,SOUTHEASTERN,Jonestown,-76.60144,39.28799,"(39.2879900000, -76.6014400000)",STREET,1,131302,2015-01-01 18:43:00,Medium,Auto Theft,
131306,2015-01-01 00:00:00,18:00:00,7A,3600 GRANTLEY RD,AUTO THEFT,O,,643.0,NORTHWESTERN,Ashburton,-76.67504,39.32863,"(39.3286300000, -76.6750400000)",STREET,1,131306,2015-01-02 08:33:00,Medium,Auto Theft,
131318,2015-01-01 00:00:00,16:00:00,6D,700 W HAMBURG ST,LARCENY FROM AUTO,O,,932.0,SOUTHERN,Washington Village/Pigtow,-76.62773,39.28075,"(39.2807500000, -76.6277300000)",STREET,1,131318,2015-01-02 07:55:00,High,Silent Alarm,
131319,2015-01-01 00:00:00,15:30:00,6E,1000 WHATCOAT ST,LARCENY,O,,743.0,WESTERN,Sandtown-Winchester,-76.64092,39.30045,"(39.3004500000, -76.6409200000)",STREET,1,131319,2015-01-02 13:31:00,Low,Larceny f/Auto,
131323,2015-01-01 00:00:00,14:44:00,9S,4300 LASALLE AV,SHOOTING,Outside,FIREARM,444.0,NORTHEASTERN,Frankford,-76.54926,39.337720000000004,"(39.3377200000, -76.5492600000)",Street,1,131323,2015-01-01 14:43:00,High,Shooting,
131324,2015-01-01 00:00:00,14:40:00,4A,4300 LASALLE AV,AGG. ASSAULT,O,FIREARM,444.0,NORTHEASTERN,Frankford,-76.54926,39.337720000000004,"(39.3377200000, -76.5492600000)",STREET,1,131324,2015-01-01 14:43:00,High,Shooting,
131329,2015-01-01 00:00:00,14:00:00,6E,800 N MONROE ST,LARCENY,O,,722.0,WESTERN,Midtown-Edmondson,-76.64751,39.297959999999996,"(39.2979600000, -76.6475100000)",STREET,1,131329,2015-01-02 22:34:00,Medium,Common Assault,
131331,2015-01-01 00:00:00,14:00:00,6E,2600 W FAIRMOUNT AV,LARCENY,O,,842.0,SOUTHWESTERN,Shipley Hill,-76.65871,39.28823,"(39.2882300000, -76.6587100000)",STREET,1,131331,2015-01-01 16:09:00,Medium,NarcoticsOutside,
131334,2015-01-01 00:00:00,13:30:00,7A,400 S CLINTON ST,AUTO THEFT,O,,231.0,SOUTHEASTERN,Highlandtown,-76.57004,39.28712,"(39.2871200000, -76.5700400000)",STREET,1,131334,2015-01-01 18:17:00,Medium,Auto Theft,
131335,2015-01-01 00:00:00,13:20:00,4E,3500 N CHARLES ST,COMMON ASSAULT,I,HANDS,511.0,NORTHERN,Johns Hopkins Homewood,-76.61809000000001,39.33139,"(39.3313900000, -76.6180900000)",SCHOOL,1,131335,2015-01-01 12:57:00,Medium,Common Assault,
131337,2015-01-01 00:00:00,13:00:00,5A,200 DENISON ST,BURGLARY,I,,843.0,SOUTHWESTERN,Allendale,-76.67529,39.29002,"(39.2900200000, -76.6752900000)",ROW/TOWNHO,1,131337,2015-01-01 18:48:00,Medium,Disorderly,
131341,2015-01-01 00:00:00,12:20:00,4E,3500 MOUNT PLEASANT AV,COMMON ASSAULT,I,HANDS,223.0,SOUTHEASTERN,Baltimore Highlands,-76.56806,39.29091,"(39.2909100000, -76.5680600000)",ROW/TOWNHO,1,131341,2015-01-01 12:17:00,Medium,Common Assault,
131343,2015-01-01 00:00:00,12:00:00,7A,3800 CLARKS LA,AUTO THEFT,O,,632.0,NORTHWESTERN,Glen,-76.70237,39.36032,"(39.3603200000, -76.7023700000)",PARKING LO,1,131343,2015-01-01 15:52:00,Medium,Auto Theft,
131346,2015-01-01 00:00:00,12:00:00,5A,7000 PARK HEIGHTS AV,BURGLARY,I,,631.0,NORTHWESTERN,Fallstaff,-76.7043,39.365990000000004,"(39.3659900000, -76.7043000000)",ROW/TOWNHO,1,131346,2015-01-02 16:07:00,Low,Larceny,
131349,2015-01-01 00:00:00,11:30:00,5E,1400 E FAYETTE ST,BURGLARY,I,,212.0,SOUTHEASTERN,Washington Hill,-76.59869,39.29273,"(39.2927300000, -76.5986900000)",OTHER - IN,1,131349,2015-01-02 09:20:00,Medium,Burglary,
131353,2015-01-01 00:00:00,11:00:00,6G,200 E PRATT ST,LARCENY,I,,112.0,CENTRAL,Inner Harbor,-76.61204000000001,39.286590000000004,"(39.2865900000, -76.6120400000)",SHOPPING M,1,131353,2015-01-01 17:14:00,Low,Larceny,
131354,2015-01-01 00:00:00,10:54:00,3K,400 WATTY CT,ROBBERY - RESIDENCE,I,,123.0,CENTRAL,Upton,-76.62574000000001,39.301359999999995,"(39.3013600000, -76.6257400000)",ROW/TOWNHO,1,131354,2015-01-01 11:10:00,Medium,Common Assault,
131356,2015-01-01 00:00:00,10:00:00,6G,1000 LYNDHURST ST,LARCENY,I,,844.0,SOUTHWESTERN,Edmondson Village,-76.68143,39.298840000000006,"(39.2988400000, -76.6814300000)",ROW/TOWNHO,1,131356,2015-01-01 15:32:00,Low,Larceny,
131362,2015-01-01 00:00:00,09:00:00,7A,3500 GREENSPRING AV,AUTO THEFT,O,,612.0,NORTHWESTERN,Park Circle,-76.65441,39.330909999999996,"(39.3309100000, -76.6544100000)",STREET,1,131362,2015-01-02 16:36:00,Medium,Auto Theft,
131369,2015-01-01 00:00:00,06:50:00,6E,100 N FRONT ST,LARCENY,O,,211.0,SOUTHEASTERN,Jonestown,-76.60582,39.29105,"(39.2910500000, -76.6058200000)",PARKING LO,1,131369,2015-01-01 15:31:00,Low,Larceny f/Auto,
131371,2015-01-01 00:00:00,06:04:00,4E,5700 FENWICK AV,COMMON ASSAULT,I,HANDS,415.0,NORTHEASTERN,Loch Raven,-76.58585,39.36013,"(39.3601300000, -76.5858500000)",ROW/TOWNHO,1,131371,2015-01-01 05:53:00,Medium,Common Assault,
131372,2015-01-01 00:00:00,06:00:00,4E,2200 SOUTHERN AV,COMMON ASSAULT,I,HANDS,421.0,NORTHEASTERN,Lauraville,-76.57689,39.3479,"(39.3479000000, -76.5768900000)",ROW/TOWNHO,1,131372,2015-01-01 05:52:00,Medium,Common Assault,
131382,2015-01-01 00:00:00,04:00:00,7A,1500 MORELAND AV,AUTO THEFT,O,,723.0,WESTERN,Coppin Heights/Ash-Co-Eas,-76.65572,39.304970000000004,"(39.3049700000, -76.6557200000)",STREET,1,131382,2015-01-01 08:34:00,Medium,Auto Theft,
131390,2015-01-01 00:00:00,03:00:00,4E,1900 W BALTIMORE ST,COMMON ASSAULT,I,HANDS,714.0,WESTERN,Penrose/Fayette Street Ou,-76.64745,39.28817,"(39.2881700000, -76.6474500000)",APT/CONDO,1,131390,2015-01-01 03:24:00,Medium,Common Assault,
131399,2015-01-01 00:00:00,02:00:00,4E,100 W FAYETTE ST,COMMON ASSAULT,I,HANDS,111.0,CENTRAL,Downtown,-76.61695,39.29036,"(39.2903600000, -76.6169500000)",HOTEL/MOTE,1,131399,2015-01-01 02:26:00,Medium,Common Assault,
131401,2015-01-01 00:00:00,01:59:00,4E,4200 SHAMROCK AV,COMMON ASSAULT,I,HANDS,442.0,NORTHEASTERN,Belair-Edison,-76.56528,39.328070000000004,"(39.3280700000, -76.5652800000)",ROW/TOWNHO,1,131401,2015-01-01 01:47:00,Medium,Common Assault,
131403,2015-01-01 00:00:00,01:30:00,5E,6500 FRANKFORD AV,BURGLARY,I,,441.0,NORTHEASTERN,Pulaski Industrial Area,-76.54065,39.31385,"(39.3138500000, -76.5406500000)",HOTEL/MOTE,1,131403,2015-01-02 23:36:00,Low,Destruct Propty,
131404,2015-01-01 00:00:00,01:01:00,6E,2000 W BALTIMORE ST,LARCENY,O,,714.0,WESTERN,Penrose/Fayette Street Ou,-76.64888,39.2881,"(39.2881000000, -76.6488800000)",STREET,1,131404,2015-01-01 15:55:00,Non-Emergency,Transport,
131409,2015-01-01 00:00:00,01:00:00,6G,1200 E PRESTON ST,LARCENY,I,,343.0,EASTERN,Oliver,-76.60134000000001,39.30507,"(39.3050700000, -76.6013400000)",ROW/TOWNHO,1,131409,2015-01-01 09:21:00,Low,Larceny,
131410,2015-01-01 00:00:00,01:00:00,6E,1200 N BENTALOU ST,LARCENY,O,,723.0,WESTERN,Bridgeview/Greenlawn,-76.65366999999999,39.3018,"(39.3018000000, -76.6536700000)",STREET,1,131410,2015-01-01 12:52:00,Low,Larceny f/Auto,
131413,2015-01-01 00:00:00,00:33:00,4E,100 E LOMBARD ST,COMMON ASSAULT,O,HANDS,111.0,CENTRAL,Downtown,-76.61355,39.28778,"(39.2877800000, -76.6135500000)",STREET,1,131413,2015-01-01 00:51:00,Medium,Common Assault,
131153,2015-01-02 00:00:00,23:47:00,4E,400 ILCHESTER AV,COMMON ASSAULT,I,HANDS,513.0,NORTHERN,Harwood,-76.6102,39.32282,"(39.3228200000, -76.6102000000)",APT/CONDO,1,131153,2015-01-02 18:58:00,High,Silent Alarm,
131155,2015-01-02 00:00:00,22:40:00,6J,5200 EASTBURY AV,LARCENY,O,,443.0,NORTHEASTERN,Frankford,-76.55098000000001,39.3221,"(39.3221000000, -76.5509800000)",PARKING LO,1,131155,2015-01-03 16:36:00,Medium,*BY THREAT,
131157,2015-01-02 00:00:00,22:25:00,4E,800 N MONROE ST,COMMON ASSAULT,I,HANDS,722.0,WESTERN,Harlem Park,-76.64744,39.29797,"(39.2979700000, -76.6474400000)",ROW/TOWNHO,1,131157,2015-01-02 22:34:00,Medium,Common Assault,
131158,2015-01-02 00:00:00,22:00:00,6E,5000 NORTHWOOD DR,LARCENY,O,,413.0,NORTHEASTERN,New Northwood,-76.59658,39.35106,"(39.3510600000, -76.5965800000)",STREET,1,131158,2015-01-03 12:38:00,Low,Larceny f/Auto,
131161,2015-01-02 00:00:00,21:07:00,5A,5100 FREDERICK AV,BURGLARY,I,,833.0,SOUTHWESTERN,Beechfield,-76.7009,39.281,"(39.2810000000, -76.7009000000)",ROW/TOWNHO,1,131161,2015-01-02 21:05:00,Medium,Burglary,
131163,2015-01-02 00:00:00,21:00:00,7A,300 CORNWALL ST,AUTO THEFT,O,,241.0,SOUTHEASTERN,Hopkins Bayview,-76.54484000000001,39.289359999999995,"(39.2893600000, -76.5448400000)",STREET,1,131163,2015-01-03 14:20:00,Medium,911/No Voice,
131164,2015-01-02 00:00:00,21:00:00,6D,100 N CURLEY ST,LARCENY FROM AUTO,O,,222.0,SOUTHEASTERN,Patterson Park Neighborho,-76.57563,39.29396,"(39.2939600000, -76.5756300000)",STREET,1,131164,2015-01-03 12:55:00,Low,Larceny f/Auto,
131165,2015-01-02 00:00:00,20:30:00,6G,100 INTERNATIONAL PL,LARCENY,I,,211.0,SOUTHEASTERN,Inner Harbor,-76.60181,39.28275,"(39.2827500000, -76.6018100000)",OTHER - IN,1,131165,2015-01-02 20:39:00,Low,Larceny,
131166,2015-01-02 00:00:00,20:30:00,6G,1200 BROENING HW,LARCENY,I,,233.0,SOUTHEASTERN,Medford,-76.54365,39.2799,"(39.2799000000, -76.5436500000)",OTHER/RESI,1,131166,2015-01-03 16:59:00,Medium,Disorderly,
131168,2015-01-02 00:00:00,20:00:00,6G,0 N EAST AV,LARCENY,I,,222.0,SOUTHEASTERN,Patterson Park Neighborho,-76.57243000000001,39.292759999999994,"(39.2927600000, -76.5724300000)",ROW/TOWNHO,1,131168,2015-01-02 22:35:00,Medium,*POLICE INFO,
131170,2015-01-02 00:00:00,19:50:00,6C,2400 N CHARLES ST,LARCENY,I,,514.0,NORTHERN,Old Goucher,-76.61686999999999,39.31645,"(39.3164500000, -76.6168700000)",GROCERY/CO,1,131170,2015-01-02 19:46:00,Low,Larceny,
131172,2015-01-02 00:00:00,19:39:00,3AF,3000 OAKCREST AV,ROBBERY - STREET,O,FIREARM,424.0,NORTHEASTERN,North Harford Road,-76.54358,39.37088,"(39.3708800000, -76.5435800000)",STREET,1,131172,2015-01-02 19:36:00,High,Robbery Armed,
131173,2015-01-02 00:00:00,19:11:00,3AO,2600 WILKENS AV,ROBBERY - STREET,O,OTHER,841.0,SOUTHWESTERN,Millhill,-76.65788,39.27839,"(39.2783900000, -76.6578800000)",STREET,1,131173,2015-01-03 18:02:00,Low,Traffic Stop,
131174,2015-01-02 00:00:00,19:06:00,3AF,1700 PRESBURY ST,ROBBERY - STREET,O,FIREARM,742.0,WESTERN,Sandtown-Winchester,-76.64493,39.30798,"(39.3079800000, -76.6449300000)",STREET,1,131174,2015-01-02 21:52:00,Medium,Family Disturb,
131175,2015-01-02 00:00:00,19:06:00,3AF,1700 PRESBURY ST,ROBBERY - STREET,O,FIREARM,742.0,WESTERN,Sandtown-Winchester,-76.64493,39.30798,"(39.3079800000, -76.6449300000)",STREET,1,131175,2015-01-02 21:52:00,Medium,Family Disturb,
131176,2015-01-02 00:00:00,19:06:00,3AF,1700 PRESBURY ST,ROBBERY - STREET,O,FIREARM,742.0,WESTERN,Sandtown-Winchester,-76.64493,39.30798,"(39.3079800000, -76.6449300000)",STREET,1,131176,2015-01-02 21:52:00,Medium,Family Disturb,
131179,2015-01-02 00:00:00,18:54:00,6D,400 W MULBERRY ST,LARCENY FROM AUTO,O,,111.0,CENTRAL,Downtown,-76.6214,39.29384,"(39.2938400000, -76.6214000000)",STREET,1,131179,2015-01-02 18:37:00,Low,Larceny f/Auto,
131183,2015-01-02 00:00:00,18:00:00,6D,1500 BOLTON ST,LARCENY FROM AUTO,O,,132.0,CENTRAL,Bolton Hill,-76.62616,39.30702,"(39.3070200000, -76.6261600000)",STREET,1,131183,2015-01-03 11:59:00,Low,Larceny f/Auto,
131186,2015-01-02 00:00:00,17:20:00,3AJF,900 CALWELL RD,ROBBERY - CARJACKING,O,FIREARM,832.0,SOUTHWESTERN,Oaklee,-76.68755,39.26789,"(39.2678900000, -76.6875500000)",STREET,1,131186,2015-01-02 17:13:00,High,Car Jacking,
131191,2015-01-02 00:00:00,17:00:00,6D,200 ALBEMARLE ST,LARCENY FROM AUTO,O,,211.0,SOUTHEASTERN,Little Italy,-76.60306,39.28725,"(39.2872500000, -76.6030600000)",STREET,1,131191,2015-01-02 17:49:00,Low,Larceny f/Auto,
131192,2015-01-02 00:00:00,16:39:00,3JF,1300 E LANVALE ST,ROBBERY - RESIDENCE,I,FIREARM,343.0,EASTERN,Oliver,-76.60081,39.30939,"(39.3093900000, -76.6008100000)",APT/CONDO,1,131192,2015-01-02 16:34:00,Medium,Burglary,
131193,2015-01-02 00:00:00,16:39:00,3JF,1300 E LANVALE ST,ROBBERY - RESIDENCE,I,FIREARM,343.0,EASTERN,Oliver,-76.60081,39.30939,"(39.3093900000, -76.6008100000)",APT/CONDO,1,131193,2015-01-02 16:34:00,Medium,Burglary,
131194,2015-01-02 00:00:00,16:39:00,3JF,1300 E LANVALE ST,ROBBERY - RESIDENCE,I,FIREARM,343.0,EASTERN,Oliver,-76.60081,39.30939,"(39.3093900000, -76.6008100000)",APT/CONDO,1,131194,2015-01-02 16:34:00,Medium,Burglary,
131200,2015-01-02 00:00:00,16:00:00,6E,800 HARFORD CT,LARCENY,O,,312.0,EASTERN,Oldtown,-76.60507,39.29923,"(39.2992300000, -76.6050700000)",STREET,1,131200,2015-01-03 17:47:00,Low,Larceny f/Auto,
131201,2015-01-02 00:00:00,15:50:00,4E,1500 BROENING HW,COMMON ASSAULT,O,HANDS,233.0,SOUTHEASTERN,Canton Industrial Area,-76.5436,39.27536,"(39.2753600000, -76.5436000000)",STREET,1,131201,2015-01-02 16:07:00,Medium,Common Assault,
131203,2015-01-02 00:00:00,15:30:00,5A,3800 ELMORA AV,BURGLARY,I,,432.0,NORTHEASTERN,Belair-Edison,-76.56461999999999,39.316359999999996,"(39.3163600000, -76.5646200000)",SINGLE HOU,1,131203,2015-01-02 17:46:00,Medium,Burglary,
131204,2015-01-02 00:00:00,15:01:00,6J,1400 MARSHALL ST,LARCENY,I,,942.0,SOUTHERN,South Baltimore,-76.61261999999999,39.273740000000004,"(39.2737400000, -76.6126200000)",ROW/TOWNHO,1,131204,2015-01-02 17:20:00,Low,Larceny,
131205,2015-01-02 00:00:00,15:00:00,6J,1500 WASHINGTON BD,LARCENY,O,,935.0,SOUTHERN,Carroll Park,-76.63745,39.279070000000004,"(39.2790700000, -76.6374500000)",YARD,1,131205,2015-01-02 13:52:00,Medium,911/No Voice,
131212,2015-01-02 00:00:00,14:15:00,7A,0 N KOSSUTH ST,AUTO THEFT,O,,842.0,SOUTHWESTERN,Saint Josephs,-76.67443,39.28774,"(39.2877400000, -76.6744300000)",STREET,1,131212,2015-01-02 14:21:00,Medium,Auto Theft,
131213,2015-01-02 00:00:00,14:00:00,5B,3000 HUDSON ST,BURGLARY,I,,232.0,SOUTHEASTERN,Canton,-76.57359,39.28232,"(39.2823200000, -76.5735900000)",ROW/TOWNHO,1,131213,2015-01-02 15:47:00,Medium,Burglary,
131214,2015-01-02 00:00:00,13:50:00,5A,3900 COLBORNE RD,BURGLARY,I,,844.0,SOUTHWESTERN,Edmondson Village,-76.68213,39.29784,"(39.2978400000, -76.6821300000)",ROW/TOWNHO,1,131214,2015-01-02 12:57:00,Medium,Burglary,
131215,2015-01-02 00:00:00,13:46:00,4D,400 CATHEDRAL ST,AGG. ASSAULT,I,HANDS,111.0,CENTRAL,Downtown,-76.61685,39.29415,"(39.2941500000, -76.6168500000)",LIBRARY,1,131215,2015-01-02 13:42:00,Medium,Common Assault,
131217,2015-01-02 00:00:00,13:01:00,5A,5600 GOVANE AV,BURGLARY,I,,523.0,NORTHERN,Mid-Govans,-76.60703000000001,39.3577,"(39.3577000000, -76.6070300000)",ROW/TOWNHO,1,131217,2015-01-02 22:01:00,Medium,Burglary,
131218,2015-01-02 00:00:00,13:00:00,4A,3500 ESTHER PL,AGG. ASSAULT,O,FIREARM,223.0,SOUTHEASTERN,Baltimore Highlands,-76.56834,39.29433,"(39.2943300000, -76.5683400000)",STREET,1,131218,2015-01-02 13:00:00,High,Aggrav Assault,
131229,2015-01-02 00:00:00,11:30:00,6D,300 S CLINTON ST,LARCENY FROM AUTO,O,,231.0,SOUTHEASTERN,Highlandtown,-76.57011999999999,39.28838,"(39.2883800000, -76.5701200000)",STREET,1,131229,2015-01-03 18:26:00,Low,Larceny f/Auto,
131231,2015-01-02 00:00:00,10:41:00,3JF,1300 HOMESTEAD ST,ROBBERY - RESIDENCE,I,FIREARM,411.0,NORTHEASTERN,Coldstream Homestead Mont,-76.59983000000001,39.3236,"(39.3236000000, -76.5998300000)",ROW/TOWNHO,1,131231,2015-01-02 10:40:00,Medium,Burglary,
131236,2015-01-02 00:00:00,10:00:00,7A,2600 HUNTINGDON AV,AUTO THEFT,O,,511.0,NORTHERN,Remington,-76.62154,39.31922,"(39.3192200000, -76.6215400000)",STREET,1,131236,2015-01-03 09:56:00,Medium,Disorderly,
131239,2015-01-02 00:00:00,09:00:00,5A,3900 REXMERE RD,BURGLARY,I,,412.0,NORTHEASTERN,Ednor Gardens-Lakeside,-76.602,39.3366,"(39.3366000000, -76.6020000000)",ROW/TOWNHO,1,131239,2015-01-02 15:13:00,Medium,Burglary,
131242,2015-01-02 00:00:00,08:00:00,5A,900 ELLICOTT DW,BURGLARY,I,,814.0,SOUTHWESTERN,Franklintown Road,-76.66893,39.29743,"(39.2974300000, -76.6689300000)",ROW/TOWNHO,1,131242,2015-01-03 17:45:00,Medium,Missing Person,
131243,2015-01-02 00:00:00,08:00:00,6D,3900 CALLAWAY AV,LARCENY FROM AUTO,O,,643.0,NORTHWESTERN,Ashburton,-76.67572,39.3344,"(39.3344000000, -76.6757200000)",STREET,1,131243,2015-01-02 12:56:00,Low,Larceny f/Auto,
131244,2015-01-02 00:00:00,08:00:00,6E,1100 CEDARCROFT RD,LARCENY,O,,522.0,NORTHERN,Glen Oaks,-76.598,39.36974,"(39.3697400000, -76.5980000000)",STREET,1,131244,2015-01-02 11:13:00,Low,Larceny,
131246,2015-01-02 00:00:00,07:45:00,5A,3100 DILLON ST,BURGLARY,I,,232.0,SOUTHEASTERN,Canton,-76.57151,39.28132,"(39.2813200000, -76.5715100000)",ROW/TOWNHO,1,131246,2015-01-02 18:50:00,Medium,Burglary,
131247,2015-01-02 00:00:00,07:00:00,6J,4500 PEN LUCY RD,LARCENY,I,,822.0,SOUTHWESTERN,Uplands,-76.69299000000001,39.286809999999996,"(39.2868100000, -76.6929900000)",ROW/TOWNHO,1,131247,2015-01-02 22:22:00,Low,*INVESTIGATE,
131254,2015-01-02 00:00:00,02:00:00,7A,1900 PARKSLEY AV,AUTO THEFT,O,,831.0,SOUTHWESTERN,Morrell Park,-76.65312,39.265159999999995,"(39.2651600000, -76.6531200000)",YARD,1,131254,2015-01-03 12:55:00,Medium,Auto Theft,
131077,2015-01-03 00:00:00,23:00:00,5E,1500 KENNEWICK RD,BURGLARY,O,,412.0,NORTHEASTERN,Ednor Gardens-Lakeside,-76.59355,39.3346,"(39.3346000000, -76.5935500000)",SHED/GARAG,1,131077,2015-01-04 15:13:00,Low,Larceny,
131080,2015-01-03 00:00:00,22:00:00,7A,4500 CEDARGARDEN RD,AUTO THEFT,O,,833.0,SOUTHWESTERN,Yale Heights,-76.69215,39.27636,"(39.2763600000, -76.6921500000)",STREET,1,131080,2015-01-04 07:22:00,Medium,Auto Theft,
131082,2015-01-03 00:00:00,21:11:00,9S,3800 S HANOVER ST,SHOOTING,Outside,FIREARM,913.0,SOUTHERN,Brooklyn,-76.61054,39.23661,"(39.2366100000, -76.6105400000)",Street,1,131082,2015-01-03 21:29:00,Low,*POLICE INFOR,
131087,2015-01-03 00:00:00,20:30:00,6D,200 N STREEPER ST,LARCENY FROM AUTO,O,,221.0,SOUTHEASTERN,McElderry Park,-76.57708000000001,39.29546,"(39.2954600000, -76.5770800000)",STREET,1,131087,2015-01-04 11:37:00,Low,Larceny f/Auto,
131091,2015-01-03 00:00:00,20:00:00,7A,5100 PEMBRIDGE AV,AUTO THEFT,O,,614.0,NORTHWESTERN,Central Park Heights,-76.6705,39.35087,"(39.3508700000, -76.6705000000)",STREET,1,131091,2015-01-03 16:01:00,High,Fire,
131096,2015-01-03 00:00:00,19:40:00,4E,900 S LINWOOD AV,COMMON ASSAULT,I,HANDS,232.0,SOUTHEASTERN,Canton,-76.57548,39.2817,"(39.2817000000, -76.5754800000)",ROW/TOWNHO,1,131096,2015-01-03 19:39:00,Medium,Common Assault,
131099,2015-01-03 00:00:00,19:01:00,6J,2400 WOODBROOK AV,LARCENY,O,,733.0,WESTERN,Penn North,-76.6413,39.31064,"(39.3106400000, -76.6413000000)",STREET,1,131099,2015-01-03 18:58:00,Low,Larceny,
131104,2015-01-03 00:00:00,18:00:00,6D,4600 CHATFORD AV,LARCENY FROM AUTO,O,,442.0,NORTHEASTERN,Parkside,-76.55749,39.3243,"(39.3243000000, -76.5574900000)",ALLEY,1,131104,2015-01-03 18:02:00,Low,Larceny f/Auto,
131107,2015-01-03 00:00:00,17:45:00,4A,1700 LLEWELYN AV,AGG. ASSAULT,O,FIREARM,331.0,EASTERN,Broadway East,-76.59421999999999,39.30696,"(39.3069600000, -76.5942200000)",STREET,1,131107,2015-01-03 17:49:00,High,Aggrav Assault,
131108,2015-01-03 00:00:00,17:45:00,4A,1700 LLEWELYN AV,AGG. ASSAULT,O,FIREARM,331.0,EASTERN,Broadway East,-76.59421999999999,39.30696,"(39.3069600000, -76.5942200000)",STREET,1,131108,2015-01-03 17:49:00,High,Aggrav Assault,
131114,2015-01-03 00:00:00,15:35:00,6J,3600 HINELINE RD,LARCENY,O,,832.0,SOUTHWESTERN,Violetville,-76.67846999999999,39.266690000000004,"(39.2666900000, -76.6784700000)",STREET,1,131114,2015-01-03 15:15:00,Medium,Auto Theft,
131121,2015-01-03 00:00:00,12:30:00,5A,1700 E 30TH ST,BURGLARY,I,,411.0,NORTHEASTERN,Coldstream Homestead Mont,-76.59147,39.32537,"(39.3253700000, -76.5914700000)",ROW/TOWNHO,1,131121,2015-01-03 05:20:00,Medium,Mental Case,
131125,2015-01-03 00:00:00,12:00:00,6D,500 N LAKEWOOD AV,LARCENY FROM AUTO,O,,221.0,SOUTHEASTERN,McElderry Park,-76.5794,39.2972,"(39.2972000000, -76.5794000000)",STREET,1,131125,2015-01-03 15:53:00,Low,Larceny f/Auto,
131129,2015-01-03 00:00:00,11:08:00,5A,1600 E LANVALE ST,BURGLARY,I,,343.0,EASTERN,Oliver,-76.59578,39.30959,"(39.3095900000, -76.5957800000)",ROW/TOWNHO,1,131129,2015-01-03 11:01:00,Medium,Burglary,
131137,2015-01-03 00:00:00,08:00:00,5D,2500 E NORTHERN PW,BURGLARY,I,,423.0,NORTHEASTERN,Hamilton Hills,-76.56224,39.36674,"(39.3667400000, -76.5622400000)",SCHOOL,1,131137,2015-01-03 19:14:00,Non-Emergency,Parking Cmpt,
131143,2015-01-03 00:00:00,02:25:00,4E,2900 BAYONNE AV,COMMON ASSAULT,O,HANDS,423.0,NORTHEASTERN,Hamilton Hills,-76.56133,39.35538,"(39.3553800000, -76.5613300000)",STREET,1,131143,2015-01-03 02:18:00,Low,Subject stop,
