,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,CrimeId,callDateTime,Priority,CallDescription,CallId
87368,2015-11-25 00:00:00,08:30:00,6D,1000 RENICK CT,LARCENY FROM AUTO,O,,913.0,SOUTHERN,Brooklyn,-76.59829,39.22802,"(39.2280200000, -76.5982900000)",STREET,1,87368,2015-11-25 16:16:00,Low,LARCENY F/AUTO,
87370,2015-11-25 00:00:00,08:00:00,5D,5800 YORK RD,BURGLARY,I,,523.0,NORTHERN,Rosebank,-76.60999,39.36268,"(39.3626800000, -76.6099900000)",SCHOOL,1,87370,2015-11-25 18:59:00,High,Traffic Stop,
87374,2015-11-25 00:00:00,07:33:00,6J,400 S PAYSON ST,LARCENY,I,,934.0,SOUTHERN,Carrollton Ridge,-76.64825,39.282579999999996,"(39.2825800000, -76.6482500000)",ROW/TOWNHO,1,87374,2015-11-25 20:27:00,Low,LARCENCY,
87376,2015-11-25 00:00:00,07:20:00,7A,2100 ASHBURTON ST,AUTO THEFT,O,,731.0,WESTERN,Panway/Braddish Avenue,-76.66242,39.311609999999995,"(39.3116100000, -76.6624200000)",STREET,1,87376,2015-11-25 07:18:00,Medium,AUTO THEFT,
87380,2015-11-25 00:00:00,05:25:00,3AF,2600 MCELDERRY ST,ROBBERY - STREET,O,FIREARM,221.0,SOUTHEASTERN,McElderry Park,-76.58075,39.29782,"(39.2978200000, -76.5807500000)",STREET,1,87380,2015-11-25 18:26:00,High,ROBBERY ARMED,
87386,2015-11-25 00:00:00,01:33:00,5E,3000 BAKER ST,BURGLARY,I,,813.0,SOUTHWESTERN,Rosemont,-76.66809,39.3059,"(39.3059000000, -76.6680900000)",LIQUOR STO,1,87386,2015-11-25 10:49:00,Medium,BURGLARY,
87391,2015-11-25 00:00:00,01:00:00,4F,4100 HYDEN CT,ASSAULT BY THREAT,I,,913.0,SOUTHERN,Brooklyn,-76.59755,39.22896,"(39.2289600000, -76.5975500000)",ROW/TOWNHO,1,87391,2015-11-25 01:45:00,Medium,DISORDERLY,
87169,2015-11-26 00:00:00,22:00:00,6E,2000 N BENTALOU ST,LARCENY,O,,731.0,WESTERN,Mondawmin,-76.65425,39.311479999999996,"(39.3114800000, -76.6542500000)",STREET,1,87169,2015-11-27 10:43:00,Low,LARCENY F/AUTO,
87172,2015-11-26 00:00:00,21:30:00,7A,1600 DARLEY AV,AUTO THEFT,O,,342.0,EASTERN,Darley Park,-76.59501999999999,39.31471,"(39.3147100000, -76.5950200000)",STREET,1,87172,2015-11-27 11:22:00,Medium,AUTO THEFT,
87176,2015-11-26 00:00:00,21:00:00,7A,700 W HAMBURG ST,AUTO THEFT,O,,932.0,SOUTHERN,Washington Village/Pigtow,-76.62706999999999,39.28072,"(39.2807200000, -76.6270700000)",STREET,1,87176,2015-11-27 18:03:00,Medium,AUTO THEFT,
87181,2015-11-26 00:00:00,20:40:00,6D,3900 E LOMBARD ST,LARCENY FROM AUTO,O,,223.0,SOUTHEASTERN,Baltimore Highlands,-76.56428000000001,39.29149,"(39.2914900000, -76.5642800000)",STREET,1,87181,2015-11-27 15:35:00,Low,LARCENY F/AUTO,
87189,2015-11-26 00:00:00,19:30:00,7A,1300 WARD ST,AUTO THEFT,O,,932.0,SOUTHERN,Washington Village/Pigtow,-76.63544,39.27967,"(39.2796700000, -76.6354400000)",STREET,1,87189,2015-11-26 23:41:00,Medium,ATTEMPT,
