Unnamed: 0,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,callDateTime,Priority,CallDescription,Season,Month,Hour
129570,2015-01-17,14:00:00,6B,400 W REDWOOD ST,LARCENY,Outside,NONE,111.0,CENTRAL,Downtown,-76.62109,39.28867,"(39.2886700000, -76.6210900000)",STREET,1,2015-01-17 14:02:00,Low,Larceny,winter,1,14
129572,2015-01-17,13:00:00,5A,2400 E LAFAYETTE AV,BURGLARY,Inside,NONE,331.0,EASTERN,Broadway East,-76.58431,39.31105,"(39.3110500000, -76.5843100000)",ROW/TOWNHO,1,2015-01-17 08:09:00,Medium,Burglary,winter,1,13
129579,2015-01-17,12:25:00,3B,400 N BRADFORD ST,ROBBERY - STREET,Outside,NONE,221.0,SOUTHEASTERN,McElderry Park,-76.58428,39.29592,"(39.2959200000, -76.5842800000)",STREET,1,2015-01-17 15:42:00,Low,*PROT ORDER,winter,1,12
129580,2015-01-17,12:15:00,4E,0 E PRESTON ST,COMMON ASSAULT,Outside,HANDS,141.0,CENTRAL,Mid-Town Belvedere,-76.61579,39.30454,"(39.3045400000, -76.6157900000)",OTHER - OU,1,2015-01-17 12:12:00,Medium,Common Assault,winter,1,12
129581,2015-01-17,12:10:00,4B,800 N EUTAW ST,AGG. ASSAULT,Outside,KNIFE,142.0,CENTRAL,Mount Vernon,-76.62151999999998,39.2998,"(39.2998000000, -76.6215200000)",STREET,1,2015-01-17 11:56:00,High,Aggrav Assault,winter,1,12
129582,2015-01-17,12:00:00,5A,2900 E FAYETTE ST,BURGLARY,Inside,NONE,224.0,SOUTHEASTERN,Ellwood Park/Monument,-76.5755,39.2947,"(39.2947000000, -76.5755000000)",ROW/TOWNHO,1,2015-01-17 12:00:00,Medium,Burglary,winter,1,12
129584,2015-01-17,11:40:00,6D,1200 MARSHALL ST,LARCENY FROM AUTO,Outside,NONE,942.0,SOUTHERN,Federal Hill,-76.61291,39.27587,"(39.2758700000, -76.6129100000)",STREET,1,2015-01-17 18:10:00,Low,Larceny f/Auto,winter,1,11
129585,2015-01-17,11:30:00,5D,400 S CONKLING ST,BURGLARY,Inside,NONE,231.0,SOUTHEASTERN,Highlandtown,-76.56715,39.28719,"(39.2871900000, -76.5671500000)",GROCERY/CO,1,2015-01-18 11:36:00,Medium,*COMMERCIAL BURG,winter,1,11
129588,2015-01-17,10:37:00,7A,800 E LAKE AV,AUTO THEFT,Outside,NONE,522.0,NORTHERN,Lake Walker,-76.60394000000002,39.3669,"(39.3669000000, -76.6039400000)",STREET,1,2015-01-17 10:35:00,Medium,Auto Theft,winter,1,10
129590,2015-01-17,10:00:00,7A,1400 LOCHNER RD,AUTO THEFT,Outside,NONE,414.0,NORTHEASTERN,Woodbourne Heights,-76.59063,39.35846,"(39.3584600000, -76.5906300000)",STREET,1,2015-01-17 07:45:00,Medium,Disorderly,winter,1,10
129595,2015-01-17,09:00:00,6D,3000 WESTFIELD AV,LARCENY FROM AUTO,Outside,NONE,424.0,NORTHEASTERN,Westfield,-76.55268000000002,39.3601,"(39.3601000000, -76.5526800000)",STREET,1,2015-01-17 08:06:00,Medium,Family Disturb,winter,1,9
129601,2015-01-17,05:00:00,8H,1600 SEXTON ST,ARSON,Outside,NONE,831.0,SOUTHWESTERN,Morrell Park,-76.65386,39.26957,"(39.2695700000, -76.6538600000)",STREET,1,2015-01-17 05:08:00,High,*VEHICLE,winter,1,5
129604,2015-01-17,03:24:00,4C,3800 FERNDALE AV,AGG. ASSAULT,Inside,OTHER,622.0,NORTHWESTERN,Howard Park,-76.69838,39.33682,"(39.3368200000, -76.6983800000)",ROW/TOWNHO,1,2015-01-17 02:54:00,Medium,Family Disturb,winter,1,3
129610,2015-01-17,01:40:00,6J,2700 NORTHSHIRE DR,LARCENY,Inside,NONE,923.0,SOUTHERN,Lakeland,-76.64269,39.25646,"(39.2564600000, -76.6426900000)",ROW/TOWNHO,1,2015-01-17 01:46:00,Low,Larceny,winter,1,1
129615,2015-01-17,01:13:00,4C,5400 PARK HEIGHTS AV,AGG. ASSAULT,Inside,OTHER,633.0,NORTHWESTERN,Arlington,-76.68128,39.35055,"(39.3505500000, -76.6812800000)",BAR,1,2015-01-17 01:11:00,High,Aggrav Assault,winter,1,1
129616,2015-01-17,00:45:00,4E,800 VINE ST,COMMON ASSAULT,Inside,HANDS,712.0,WESTERN,Poppleton,-76.63127,39.29056,"(39.2905600000, -76.6312700000)",APT/CONDO,1,2015-01-17 00:37:00,High,Aggrav Assault,winter,1,0
129621,2015-01-17,00:01:00,7A,5000 THE ALAMEDA,AUTO THEFT,Outside,NONE,524.0,NORTHERN,Kenilworth Park,-76.59919000000002,39.34861,"(39.3486100000, -76.5991900000)",STREET,1,2015-01-17 01:11:00,Medium,*ATTEMPTED,winter,1,0
129380,2015-01-18,22:55:00,4C,2600 JEFFERSON ST,AGG. ASSAULT,Inside,OTHER,221.0,SOUTHEASTERN,McElderry Park,-76.57999000000002,39.29679,"(39.2967900000, -76.5799900000)",GROCERY/CO,1,2015-01-18 22:57:00,High,Aggrav Assault,winter,1,22
