REISTERSTOWN STATION,211
REMINGTON,212
RESERVOIR HILL,213
RICHNOR SPRINGS,214
RIDGELY'S DELIGHT,215
RIVERSIDE,216
ROGNEL HEIGHTS,217
ROLAND PARK,218
ROSEBANK,219
ROSEMONT,220
ROSEMONT EAST,221
ROSEMONT HOMEOWNERS/TENAN,222
SABINA-MATTFELDT,223
SAINT AGNES,224
SAINT HELENA,225
SAINT JOSEPHS,226
SAINT PAUL,227
SANDTOWN-WINCHESTER,228
SETON BUSINESS PARK,229
SETON HILL,230
SHARP-LEADENHALL,231
SHIPLEY HILL,232
SOUTH BALTIMORE,233
SOUTH CLIFTON PARK,234
SPRING GARDEN INDUSTRIAL,235
STADIUM AREA,236
STONEWOOD-PENTWOOD-WINSTO,237
TAYLOR HEIGHTS,238
TEN HILLS,239
THE ORCHARDS,240
TOWANDA-GRANTLEY,241
TREMONT,242
TUSCANY-CANTERBURY,243
UNION SQUARE,244
UNIVERSITY OF MARYLAND,245
UPLANDS,246
UPPER FELLS POINT,247
UPTON,248
VILLAGES OF HOMELAND,249
VIOLETVILLE,250
WAKEFIELD,251
WALBROOK,252
WALTHERSON,253
WASHINGTON HILL,254
WASHINGTON VILLAGE/PIGTOW,255
WAVERLY,256
WEST ARLINGTON,257
WEST FOREST PARK,258
WEST HILLS,259
WESTFIELD,260
WESTGATE,261
WESTPORT,262
WILHELM PARK,263
WILSON PARK,264
WINCHESTER,265
WINDSOR HILLS,266
WINSTON-GOVANS,267
WOODBERRY,268
WOODBOURNE HEIGHTS,269
WOODBOURNE-MCCABE,270
WOODMERE,271
WRENLANE,272
WYMAN PARK,273
WYNDHURST,274
YALE HEIGHTS,275
YORK-HOMELAND,276
