Description,Post,District,Neighborhood,Longitude,Latitude,Premise,CallDescription,Year,median_household_income,households_below_poverty,perc18_24,perc25_64,perc65up,perc_asian,perc_aa,perc_hisp,perc_white,median_price_homes_sold,racial_diversity_index,num_households,Month,crime_hour,Outside,Weapon_FIREARM,Weapon_HANDS,Weapon_KNIFE,Weapon_NONE,Weapon_OTHER,call_hour,Season_autumn,Season_spring,Season_summer,Season_winter,Holiday,Weekend,Priority_HIGH,Priority_LOW,Priority_MEDIUM,Priority_NON-EMERGENCY,Priority_OUT OF SERVICE,Priority_UNKNOWN
3,621.0,4,81,-76.69093000000001,39.3248,67,27,2015,41821.9246987952,19.54986760812,6.63318487633848,49.2466597176158,26.9686345115133,0.123187719132,93.7742821946366,0.663318487633848,3.65772766038093,78000.0,12.4191617706878,101000.0,8,16,1,0,0,0,1,0,7,0,0,1,0,0,1,0,0,1,0,0,0
8,321.0,1,31,-76.58734,39.29538,57,6,2015,38275.26498088146,21.466483086972588,9.684237177508686,54.76922997912743,10.485667649388922,1.6350462383678266,63.21283504877909,7.892944201923628,27.45485068867627,87819.73684210527,56.41677894850294,94350.0,11,18,0,0,0,0,1,0,18,1,0,0,0,0,1,0,0,0,1,0,0
5,522.0,3,90,-76.59622,39.36844,57,40,2015,47461.8569277108,12.1056493030081,11.9214912026015,52.830846060043,13.5590267696417,1.19040706114627,90.0296150049358,1.75367284129841,6.47465303989315,104400.0,20.4163641633503,104400.0,10,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
3,712.0,8,198,-76.63422,39.29243,67,28,2015,18755.4064039409,48.7209302325581,11.2286411716843,53.8852725793328,9.01139137510171,1.42392188771359,79.1497152156225,1.81041497152156,15.9072416598861,59000.0,36.3558375737129,73600.0,10,17,1,0,0,0,1,0,17,1,0,0,0,0,0,0,1,0,0,0,0
4,123.0,0,241,-76.63779,39.30716,43,31,2015,17042.1172680412,46.6466466466466,11.7664581471552,46.1026710356469,10.3961870717903,1.47949558137226,93.0493496177142,0.506404527852249,3.53490219441962,60000.0,13.6921512053331,53465.0,2,15,0,0,0,0,1,0,17,0,0,0,1,0,0,0,0,1,0,0,0
5,913.0,6,25,-76.59773,39.23062,57,40,2015,36679.0534351145,28.3595641646489,10.0916176671681,56.413236701764,6.30384247230959,1.37426500752085,37.5974292356078,11.3291398878709,45.2140024613702,37500.0,69.857509618114,45000.0,12,11,0,0,1,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0
12,111.0,0,59,-76.62206,39.29381,67,110,2015,46132.8669064748,5.45454545454545,19.668526974463,69.8291899205141,4.41400304414003,12.0243531202435,31.2531709791984,5.46254016573651,46.6768138001015,215000.0,67.5631300479776,207000.0,2,2,1,0,0,0,1,0,2,0,0,0,1,0,1,1,0,0,0,0,0
12,113.0,0,60,-76.61771,39.28746,67,110,2015,46132.8669064748,5.45454545454545,19.668526974463,69.8291899205141,4.41400304414003,12.0243531202435,31.2531709791984,5.46254016573651,46.6768138001015,215000.0,67.5631300479776,207000.0,3,1,1,0,0,0,1,0,21,0,0,0,1,0,0,1,0,0,0,0,0
0,743.0,8,221,-76.64435,39.304590000000005,51,40,2015,24108.1525641026,35.8477743798845,10.729475447867,51.84946513726,11.4061090346694,0.393091893285217,96.4299523134425,0.380203634488981,0.824848562959144,12550.0,7.18959568030168,26000.0,6,15,0,0,0,1,0,0,15,0,1,0,0,0,0,0,0,1,0,0,0
7,343.0,1,176,-76.60289,39.30505,67,76,2015,23625.756916996,25.820991629105,9.5046157846834,53.0750227538682,12.9371993238851,0.0,94.6690937459368,1.91132492523729,2.89949291379535,39500.0,10.1383126509427,32450.0,7,18,1,0,0,0,1,0,14,0,0,1,0,0,1,0,1,0,0,0,0
5,123.0,0,241,-76.62796999999999,39.30267,59,40,2015,17042.1172680412,46.6466466466466,11.7664581471552,46.1026710356469,10.3961870717903,1.47949558137226,93.0493496177142,0.506404527852249,3.53490219441962,60000.0,13.6921512053331,53465.0,5,14,0,0,1,0,0,0,15,0,1,0,0,0,0,0,0,1,0,0,0
12,343.0,1,94,-76.60393,39.30833,67,109,2015,23625.756916996,25.820991629105,9.5046157846834,53.0750227538682,12.9371993238851,0.0,94.6690937459368,1.91132492523729,2.89949291379535,39500.0,10.1383126509427,32450.0,4,7,1,1,0,0,0,0,10,0,1,0,0,0,0,1,0,0,0,0,0
7,232.0,5,29,-76.58440999999999,39.28316,6,75,2015,95362.400309119,2.99860529986053,8.18273092369478,73.9583333333333,10.316265060241,3.79016064257028,2.45983935742972,4.91967871485944,86.8473895582329,302900.0,26.29369945924,285500.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
12,323.0,1,18,-76.57983,39.30417,67,15,2015,29364.2063492064,23.6260623229462,10.2817068822061,53.0963984309996,15.559253536194,0.0713181980268632,94.4847260192559,2.24652323784619,1.85427314869844,19000.0,13.7464565186241,20000.0,1,16,1,0,0,0,0,1,16,0,0,0,1,1,0,1,0,0,0,0,0
7,531.0,3,102,-76.63296,39.33111,69,75,2015,58644.1736641221,7.13874496257916,7.45167562621526,64.3657783369553,13.7081093446186,7.0113233443898,10.734301727096,4.51790003431316,74.8255747455107,184950.0,42.6357060591214,178000.0,11,12,0,0,0,0,1,0,12,1,0,0,0,0,0,0,0,1,0,0,0
8,212.0,5,240,-76.59026,39.28902,67,76,2015,82263.222972973,6.16438356164384,5.74784980071324,77.5435284245857,5.97860289490245,4.61506188378435,5.38074260541221,13.9081183134047,73.673169708412,255000.0,50.3365140665666,249000.0,7,7,1,0,0,0,1,0,7,0,0,1,0,0,0,0,1,0,0,0,0
4,232.0,5,29,-76.58418,39.28284,62,31,2015,95362.400309119,2.99860529986053,8.18273092369478,73.9583333333333,10.316265060241,3.79016064257028,2.45983935742972,4.91967871485944,86.8473895582329,302900.0,26.29369945924,285500.0,6,19,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,1,0,0,0
8,411.0,2,48,-76.59413,39.32602,69,76,2015,44102.318986667044,14.570103375684283,8.956598893566134,56.46093251054993,11.85650237322703,1.719332299365423,68.55809134017342,3.805211613965946,21.195789497119097,94189.0756302521,44.661338591077225,108068.73949579832,10,16,0,0,0,0,1,0,11,1,0,0,0,0,1,0,1,0,0,0,0
7,932.0,6,248,-76.63002,39.2802,42,75,2015,39159.000600158324,24.033555199685182,9.02492727950311,55.59780595357484,10.239968694581178,1.726552379922817,67.28079823845854,5.066092851853547,23.252498387386797,62907.142857142855,47.0403234706802,80566.19047619047,2,10,1,0,0,0,1,0,16,0,0,0,1,1,0,0,1,0,0,0,0
7,723.0,8,22,-76.65366999999999,39.3018,67,76,2015,31759.0589198036,21.3292117465224,11.0357622672894,52.6069989124176,13.1213613972235,0.204721386987397,97.4409826626575,1.45224233894185,0.358262427227944,17500.0,5.48908692351591,25358.0,1,1,1,0,0,0,1,0,12,0,0,0,1,1,0,0,1,0,0,0,0
5,132.0,0,142,-76.62791999999999,39.30271,59,40,2015,17042.1172680412,46.6466466466466,11.7664581471552,46.1026710356469,10.3961870717903,1.47949558137226,93.0493496177142,0.506404527852249,3.53490219441962,60000.0,13.6921512053331,53465.0,3,10,0,0,1,0,0,0,10,0,0,0,1,0,0,0,0,0,0,1,0
7,233.0,5,30,-76.56732,39.27703,73,75,2015,30838.8732876712,26.2565641410353,6.1973849185026,53.179294286226,13.5411069317571,1.79115171054988,26.9747447608812,21.8699623858141,46.5162099229805,67000.0,74.8594375036663,83000.0,6,19,0,0,0,0,1,0,20,0,1,0,0,0,0,0,1,0,0,0,0
3,543.0,3,249,-76.60812,39.328520000000005,45,75,2015,35686.137254902,14.2767295597484,9.13288866085172,58.2093381221139,14.7639815289892,2.32170343766034,75.846587993843,1.26988199076449,15.7260133401745,55000.0,40.3649947353663,79200.0,10,12,0,0,0,0,1,0,14,1,0,0,0,0,0,0,1,0,0,0,0
1,143.0,0,223,-76.62269,39.29599,67,120,2015,46132.8669064748,5.45454545454545,19.668526974463,69.8291899205141,4.41400304414003,12.0243531202435,31.2531709791984,5.46254016573651,46.6768138001015,215000.0,67.5631300479776,207000.0,8,5,1,0,0,0,1,0,20,0,0,1,0,0,0,0,0,1,0,0,0
4,913.0,6,25,-76.60334,39.23304,61,36,2015,36679.0534351145,28.3595641646489,10.0916176671681,56.413236701764,6.30384247230959,1.37426500752085,37.5974292356078,11.3291398878709,45.2140024613702,37500.0,69.857509618114,45000.0,12,9,1,0,0,0,1,0,21,1,0,0,0,0,1,0,1,0,0,0,0
7,233.0,5,30,-76.56732,39.27703,65,75,2015,30838.8732876712,26.2565641410353,6.1973849185026,53.179294286226,13.5411069317571,1.79115171054988,26.9747447608812,21.8699623858141,46.5162099229805,67000.0,74.8594375036663,83000.0,9,15,0,0,0,0,1,0,18,0,0,1,0,1,0,0,1,0,0,0,0
8,213.0,5,79,-76.59814,39.28638,67,76,2015,82263.222972973,6.16438356164384,5.74784980071324,77.5435284245857,5.97860289490245,4.61506188378435,5.38074260541221,13.9081183134047,73.673169708412,255000.0,50.3365140665666,249000.0,7,16,1,0,0,0,1,0,16,0,0,1,0,0,1,0,1,0,0,0,0
8,233.0,5,21,-76.56597,39.28218,67,76,2015,68702.25,9.55993930197269,9.11205363250787,65.5903680394035,10.0013681762211,1.45026679436311,8.94787248597619,17.1158845259269,70.1874401422903,265000.0,52.8708938266695,259688.0,11,14,1,0,0,0,1,0,13,1,0,0,0,0,1,0,1,0,0,0,0
7,521.0,3,169,-76.63511,39.36716,67,110,2015,105555.333333333,3.75275938189845,9.13385826771654,49.8687664041995,20.5905511811024,6.95538057742782,6.86351706036745,2.93963254593176,79.6587926509186,269900.0,34.8290620095258,317762.0,12,12,1,0,0,0,1,0,12,1,0,0,0,0,1,1,0,0,0,0,0
7,111.0,0,59,-76.61224,39.28936,68,120,2015,46132.8669064748,5.45454545454545,19.668526974463,69.8291899205141,4.41400304414003,12.0243531202435,31.2531709791984,5.46254016573651,46.6768138001015,215000.0,67.5631300479776,207000.0,2,19,0,0,0,0,1,0,14,0,0,0,1,0,0,0,0,1,0,0,0
3,212.0,5,26,-76.58599,39.29071,67,27,2015,82263.222972973,6.16438356164384,5.74784980071324,77.5435284245857,5.97860289490245,4.61506188378435,5.38074260541221,13.9081183134047,73.673169708412,255000.0,50.3365140665666,249000.0,12,19,1,0,0,0,1,0,10,1,0,0,0,0,1,0,0,1,0,0,0
7,412.0,2,70,-76.59929,39.33497,57,75,2015,35686.137254902,14.2767295597484,9.13288866085172,58.2093381221139,14.7639815289892,2.32170343766034,75.846587993843,1.26988199076449,15.7260133401745,55000.0,40.3649947353663,79200.0,8,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0
4,143.0,0,223,-76.62206,39.296040000000005,57,31,2015,46132.8669064748,5.45454545454545,19.668526974463,69.8291899205141,4.41400304414003,12.0243531202435,31.2531709791984,5.46254016573651,46.6768138001015,215000.0,67.5631300479776,207000.0,12,16,0,0,0,0,1,0,16,0,0,0,1,0,0,0,0,1,0,0,0
7,942.0,6,78,-76.61296999999999,39.277640000000005,57,75,2015,88465.2048104956,7.52857705951912,9.37593759375938,67.5067506750675,11.4911491149115,4.81548154815482,12.8412841284128,4.67296729672967,75.5250525052505,290000.0,41.1738570342673,291000.0,7,1,0,0,0,0,1,0,10,0,0,1,0,0,1,0,1,0,0,0,0
8,943.0,6,209,-76.61125,39.26945,67,76,2015,97440.9627906977,3.70101596516691,6.12935042975905,74.7358038607862,7.82020572072707,3.3535296604199,2.43764971114555,5.01620402987178,87.7412991404819,306000.0,27.0252037941371,306000.0,12,19,1,0,0,0,1,0,8,1,0,0,0,0,0,0,1,0,0,0,0
8,443.0,2,83,-76.54399000000001,39.32505,45,76,2015,39300.3550347222,16.8560253306016,9.58609341378001,59.0143875785832,9.40466646976921,4.74241593181722,75.6044048774313,3.80574659297076,14.3074131893169,69950.0,43.8512220954226,94500.0,8,23,1,0,0,0,1,0,9,0,0,1,0,0,0,0,1,0,0,0,0
3,411.0,2,48,-76.59263,39.32458,67,105,2015,44102.318986667044,14.570103375684283,8.956598893566134,56.46093251054993,11.85650237322703,1.719332299365423,68.55809134017342,3.805211613965946,21.195789497119097,94189.0756302521,44.661338591077225,108068.73949579832,2,13,1,0,0,0,1,0,12,0,0,0,1,0,1,0,1,0,0,0,0
0,611.0,4,133,-76.6571,39.3245,67,46,2015,35968.3926701571,18.307426597582,19.2481688927187,47.4903059026282,15.1658767772512,0.269280482550625,94.3558810857389,0.430848772081,1.91727703576045,36100.0,11.3703966048323,41500.0,6,18,1,0,0,0,0,1,15,0,0,1,0,0,1,0,0,1,0,0,0
8,641.0,4,103,-76.67139,39.31605,67,76,2015,35968.3926701571,18.307426597582,19.2481688927187,47.4903059026282,15.1658767772512,0.269280482550625,94.3558810857389,0.430848772081,1.91727703576045,36100.0,11.3703966048323,41500.0,4,21,1,0,0,0,1,0,6,0,1,0,0,0,0,0,1,0,0,0,0
3,932.0,6,248,-76.62738,39.28118,67,44,2015,39159.000600158324,24.033555199685182,9.02492727950311,55.59780595357484,10.239968694581178,1.726552379922817,67.28079823845854,5.066092851853547,23.252498387386797,62907.142857142855,47.0403234706802,80566.19047619047,5,10,1,0,0,0,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0
3,444.0,2,83,-76.55147,39.3382,67,57,2015,39300.3550347222,16.8560253306016,9.58609341378001,59.0143875785832,9.40466646976921,4.74241593181722,75.6044048774313,3.80574659297076,14.3074131893169,69950.0,43.8512220954226,94500.0,10,0,1,0,0,0,1,0,13,1,0,0,0,0,0,0,0,0,1,0,0
12,132.0,0,142,-76.62640999999999,39.30395,67,109,2015,17042.1172680412,46.6466466466466,11.7664581471552,46.1026710356469,10.3961870717903,1.47949558137226,93.0493496177142,0.506404527852249,3.53490219441962,60000.0,13.6921512053331,53465.0,7,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
12,412.0,2,70,-76.59539000000001,39.33106,67,110,2015,35686.137254902,14.2767295597484,9.13288866085172,58.2093381221139,14.7639815289892,2.32170343766034,75.846587993843,1.26988199076449,15.7260133401745,55000.0,40.3649947353663,79200.0,12,16,1,0,0,0,1,0,16,1,0,0,0,0,0,1,0,0,0,0,0
8,141.0,0,149,-76.61319,39.30265,42,76,2015,45454.4545454545,8.85245901639344,7.95577454632857,54.5727676961904,11.9697151784641,0.889316187958178,67.612065857469,5.54019949525297,22.0886912630693,109500.0,50.6817044242091,125000.0,12,11,1,0,0,0,1,0,11,1,0,0,0,0,1,0,1,0,0,0,0
7,213.0,5,79,-76.59351,39.28318,15,116,2015,82263.222972973,6.16438356164384,5.74784980071324,77.5435284245857,5.97860289490245,4.61506188378435,5.38074260541221,13.9081183134047,73.673169708412,255000.0,50.3365140665666,249000.0,3,14,0,0,0,0,1,0,20,0,1,0,0,0,0,1,0,0,0,0,0
0,531.0,3,102,-76.63150999999999,39.33112,31,78,2015,58644.1736641221,7.13874496257916,7.45167562621526,64.3657783369553,13.7081093446186,7.0113233443898,10.734301727096,4.51790003431316,74.8255747455107,184950.0,42.6357060591214,178000.0,3,0,0,0,1,0,0,0,20,0,1,0,0,0,0,0,0,0,1,0,0
7,212.0,5,240,-76.59031999999999,39.28888,67,76,2015,82263.222972973,6.16438356164384,5.74784980071324,77.5435284245857,5.97860289490245,4.61506188378435,5.38074260541221,13.9081183134047,73.673169708412,255000.0,50.3365140665666,249000.0,6,22,1,0,0,0,1,0,16,0,1,0,0,0,0,0,1,0,0,0,0
12,712.0,8,198,-76.63035,39.29005,67,110,2015,18755.4064039409,48.7209302325581,11.2286411716843,53.8852725793328,9.01139137510171,1.42392188771359,79.1497152156225,1.81041497152156,15.9072416598861,59000.0,36.3558375737129,73600.0,2,17,1,0,0,0,1,0,17,0,0,0,1,0,0,1,0,0,0,0,0
4,842.0,7,34,-76.67218000000001,39.28428,57,31,2015,36701.906741573,24.1471215351812,10.3171641791045,51.0012437810945,13.5385572139304,0.422885572139304,86.865671641791,1.56094527363184,8.95522388059701,35500.0,24.7291528613101,42500.0,1,12,0,0,0,0,1,0,16,0,0,0,1,0,0,0,0,1,0,0,0
7,211.0,5,118,-76.6019,39.28261,32,75,2015,88465.2048104956,7.52857705951912,9.37593759375938,67.5067506750675,11.4911491149115,4.81548154815482,12.8412841284128,4.67296729672967,75.5250525052505,290000.0,41.1738570342673,291000.0,6,17,0,0,0,0,1,0,16,0,1,0,0,0,0,0,1,0,0,0,0
8,321.0,1,151,-76.58874,39.29875,67,76,2015,14417.9060509554,44.3850267379679,13.4194938072159,48.7345180398492,13.2579429186861,2.13247172859451,88.3144857296715,1.17393645665051,8.01292407108239,94250.0,22.981281169973,149900.0,10,14,1,0,0,0,1,0,16,1,0,0,0,0,0,0,1,0,0,0,0
12,211.0,5,123,-76.60336,39.28787,67,109,2015,14417.9060509554,44.3850267379679,13.4194938072159,48.7345180398492,13.2579429186861,2.13247172859451,88.3144857296715,1.17393645665051,8.01292407108239,94250.0,22.981281169973,149900.0,8,2,1,1,0,0,0,0,11,0,0,1,0,0,1,1,0,0,0,0,0
3,842.0,7,193,-76.66099,39.29093,67,46,2015,25151.9033149171,32.983682983683,8.36785901849799,53.5916438116356,11.2388399369785,1.28960728248818,74.2253603314466,6.16794071307697,13.9814436599171,15600.0,48.4187509048363,22500.0,10,15,1,0,0,0,1,0,23,1,0,0,0,0,0,0,0,1,0,0,0
0,935.0,6,167,-76.63802,39.28458,67,44,2015,25151.9033149171,32.983682983683,8.36785901849799,53.5916438116356,11.2388399369785,1.28960728248818,74.2253603314466,6.16794071307697,13.9814436599171,15600.0,48.4187509048363,22500.0,3,20,1,0,0,0,0,1,20,0,0,0,1,0,0,0,1,0,0,0,0
5,321.0,1,63,-76.59744,39.29536,67,40,2015,14417.9060509554,44.3850267379679,13.4194938072159,48.7345180398492,13.2579429186861,2.13247172859451,88.3144857296715,1.17393645665051,8.01292407108239,94250.0,22.981281169973,149900.0,8,6,1,0,1,0,0,0,8,0,0,1,0,0,0,0,0,1,0,0,0
4,224.0,5,71,-76.57488000000001,39.29472,67,124,2015,57200.2977099237,26.2806236080178,9.27614311368974,62.902334576599,6.07128056361376,0.884100013814063,34.1690841276419,15.5270064926095,46.7191601049869,189750.0,67.8682864576828,189950.0,11,9,1,0,0,0,1,0,11,1,0,0,0,0,0,1,0,0,0,0,0
8,823.0,7,254,-76.70745,39.29079,67,76,2015,51537.5820754717,11.1696522655427,8.09616536848412,56.3810665068904,10.6051527860995,0.838825644098262,78.0781905332534,2.83852606351108,15.4433792690234,126000.0,39.162063095899,139500.0,10,21,1,0,0,0,1,0,7,1,0,0,0,0,0,0,1,0,0,0,0
12,541.0,3,110,-76.63474000000001,39.33756,67,109,2015,42269.42452692319,16.340106327883685,8.856210118617284,55.015704927421375,12.698926354062698,1.6174621113277792,71.41789727105021,4.349767676434683,19.534277792953038,91129.41176470589,43.68619355539125,105947.05882352941,8,16,1,1,0,0,0,0,16,0,0,1,0,0,1,1,0,0,0,0,0
7,531.0,3,102,-76.6365,39.3306,69,82,2015,58644.1736641221,7.13874496257916,7.45167562621526,64.3657783369553,13.7081093446186,7.0113233443898,10.734301727096,4.51790003431316,74.8255747455107,184950.0,42.6357060591214,178000.0,12,10,0,0,0,0,1,0,14,0,0,0,1,0,0,0,0,1,0,0,0
7,522.0,3,90,-76.598,39.36974,67,75,2015,47461.8569277108,12.1056493030081,11.9214912026015,52.830846060043,13.5590267696417,1.19040706114627,90.0296150049358,1.75367284129841,6.47465303989315,104400.0,20.4163641633503,104400.0,1,8,1,0,0,0,1,0,11,0,0,0,1,0,0,0,1,0,0,0,0
