partition,# samples,observed CVR,predicted CVR,pred/obs CVR
train,184184,9.8217000390913439e-02,8.5919515267341359e-02,8.7479270315091207e-01
test,78937,9.8166892585226193e-02,8.6169983657853735e-02,8.7779068266873150e-01
